Log_exposure,Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
2.3,0,1,0,0,1,1953.0,1
2.3,0,0,0,0,1,1953.0,0
2.3,0,0,0,0,0,1953.0,0
2.3,0,0,0,0,1,1953.0,1
2.3,0,1,0,0,0,1953.0,0
2.3,0,0,0,0,1,1953.0,1
2.3,0,1,0,0,0,1953.0,0
2.3,0,1,0,0,1,1953.0,1
2.3,1,0,0,0,0,1953.0,0
2.3,1,0,0,0,0,1953.0,0
2.3,0,1,0,0,1,1953.0,0
2.3,0,1,0,0,0,1953.0,0
2.3,1,0,0,0,0,1953.0,0
2.3,0,1,0,0,0,1953.0,0
2.3,0,1,0,0,1,1953.0,0
2.3,0,1,0,0,0,1953.0,0
2.3,0,1,0,0,0,1953.0,0
2.3,0,0,0,0,0,1953.0,1
2.3,0,0,0,0,1,1953.0,1
2.3,0,1,0,0,0,1953.0,0
2.3,0,0,0,0,0,1953.0,0
2.3,0,0,0,0,1,1953.0,1
2.3,0,1,0,0,0,1953.0,0
2.3,0,0,0,0,1,1953.0,1
2.3,0,0,0,0,0,1953.0,0
2.3,0,1,0,0,1,1953.0,0
2.3,0,1,0,0,0,1954.0,0
2.3,0,1,0,0,0,1954.0,1
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,1,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,1,1,1,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,0,0,0,1,1954.0,0
2.3,0,0,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,1
2.3,0,1,1,1,1,1954.0,0
2.3,0,1,0,0,0,1954.0,0
2.3,0,1,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,0,1954.0,1
2.3,0,0,0,0,0,1954.0,0
2.3,0,0,0,0,1,1954.0,1
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,0,0,0,1,1954.0,0
2.3,0,1,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,1
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,1
2.3,0,1,0,0,0,1954.0,1
2.3,0,1,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,1
2.3,0,1,0,0,1,1954.0,1
2.3,0,1,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,1
2.3,0,0,0,0,0,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,1,1,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,1,1,1,1954.0,0
2.3,6,0,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,1
2.3,0,0,0,0,1,1954.0,1
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,1
2.3,0,1,0,0,1,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,0,0,0,0,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,1,0,0,1,1954.0,0
2.3,0,1,0,0,0,1954.0,1
2.3,0,0,0,0,1,1954.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,0,1955.0,0
2.3,0,0,0,0,0,1955.0,1
2.3,1,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,1
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,1
2.3,0,0,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,0,1955.0,0
2.3,0,0,0,0,0,1955.0,1
2.3,0,0,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,1
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,1
2.3,2,0,0,0,0,1955.0,0
2.3,0,0,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,1,1955.0,0
2.3,0,0,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,0,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,1
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,0,1955.0,1
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,1,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,1,0,0,1,1955.0,0
2.3,0,0,0,0,1,1955.0,0
2.3,0,1,0,0,0,1955.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,1,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,1
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,1
2.3,0,1,1,0,0,1956.0,1
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,1
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,1,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,0,0,0,0,1956.0,1
2.3,0,1,0,0,0,1956.0,1
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,1
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,0,0,0,1,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,1
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,0,0,0,1,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,1
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,1,0,0,1956.0,1
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,0,0,0,1,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,1
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,0,0,0,1,1956.0,1
2.3,0,0,0,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,1
2.3,0,0,0,0,0,1956.0,0
2.3,0,0,0,0,1,1956.0,1
2.3,0,1,0,0,1,1956.0,1
2.3,0,1,0,0,1,1956.0,0
2.3,0,0,0,0,1,1956.0,0
2.3,0,0,0,0,0,1956.0,1
2.3,0,0,0,0,0,1956.0,1
2.3,0,0,0,0,0,1956.0,1
2.3,0,1,0,0,1,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,1
2.3,0,1,0,0,1,1956.0,1
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,0,0,0,1956.0,0
2.3,0,1,0,0,1,1956.0,0
2.3,0,1,1,0,0,1956.0,0
2.3,0,0,0,0,0,1956.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,0,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,1,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,1
2.3,0,0,0,0,0,1957.0,1
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,1,1957.0,0
2.3,0,1,1,1,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,1,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,0,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,1,1,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,1,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,1
2.3,0,1,0,0,0,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,1
2.3,0,1,0,0,1,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,1
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,1
2.3,0,0,0,0,0,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,1
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,1,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,0,0,0,0,1957.0,0
2.3,0,1,0,0,1,1957.0,0
2.3,0,1,0,0,0,1957.0,0
2.3,0,1,0,0,0,1957.0,1
2.3,0,1,1,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,1
2.3,0,0,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,1,0,0,1958.0,1
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,1
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,1
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,1
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,1,0,0,1,1958.0,1
2.3,0,1,0,0,1,1958.0,1
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,1,1958.0,0
2.3,0,0,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,1,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,1
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,1,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,1,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,1
2.3,0,1,0,0,0,1958.0,1
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,1
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,1
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,1
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,1,1958.0,1
2.3,0,1,1,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,1
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,1,1958.0,1
2.3,0,1,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,1,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,1
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,1,0,0,1958.0,0
2.3,0,0,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,1,1958.0,0
2.3,0,1,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,0,1958.0,0
2.3,0,1,0,0,1,1958.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,1,0,1,1959.0,1
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,1
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,1
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,1
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,1
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,1
2.3,0,0,0,0,0,1959.0,1
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,1
2.3,0,1,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,1
2.3,0,1,0,0,0,1959.0,1
2.3,0,1,0,0,0,1959.0,1
2.3,0,0,0,0,1,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,1
2.3,0,1,1,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,1
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,1
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,1
2.3,0,1,0,0,1,1959.0,1
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,1
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,1
2.3,0,1,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,1
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,0,0,0,1,1959.0,0
2.3,0,0,0,0,1,1959.0,0
2.3,0,0,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,1,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,1,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,0,0,0,0,1959.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,1,0,0,1,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,1,0,0,1,1960.0,0
2.3,0,0,0,0,1,1960.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,1,1,0,0,1960.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,1,0,0,1,1960.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,1,0,0,1,1960.0,1
2.3,0,0,0,0,0,1960.0,0
2.3,0,1,0,0,0,1960.0,1
2.3,0,1,0,0,0,1960.0,1
2.3,0,0,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,1,0,1,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,1,0,0,0,1960.0,1
2.3,0,1,1,0,0,1960.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,1,0,0,1,1960.0,0
2.3,0,1,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
2.3,0,0,0,0,0,1960.0,0
