Task ID,Task Type,Mean,Std,CI,Method,Mean Normalized,Std Normalized,CI Normalized
361111,classification,0.6886666666666666,0.04645667037382492,0.030351691310898946,ada_gpt4o,,,
361286,classification,0.6886666666666666,0.027944389220179555,0.018257000957183977,ada_gpt4o,,,
361070,classification,0.6845,0.04077070026379238,0.0326233546200673,ada_gpt4o,,,
361278,classification,0.7924444444444445,0.004399775527382966,0.002874520011223538,ada_gpt4o,,,
361093,regression,0.08249999999999999,0.00287228132326901,0.0017802584082093223,ada_gpt4o,0.035869565217391305,0.0012488179666387015,0.0007740253948736193
361094,regression,0.05650000000000001,0.0005000000000000004,0.0003099032106965014,ada_gpt4o,0.0014487179487179488,1.282051282051281e-05,7.946236171705151e-06
361288,regression,2.178,0.009044335243676094,0.005605737061261487,ada_gpt4o,0.07778571428571428,0.00032301197298842903,0.0002002048950450513
361072,regression,2.4851428571428573,0.03863169894355287,0.028618763075996118,ada_gpt4o,0.025102453102453102,0.00039021918124800914,0.00028907841490905195
361076,regression,0.6039999999999999,0.0010000000000000009,0.0006198064213930028,ada_gpt4o,0.10066666666666665,0.00016666666666666913,0.00010330107023216858
361279,regression,0.028100000000000003,0.00030000000000000024,0.00018594192641790085,ada_gpt4o,0.028100000000000003,0.00030000000000000024,0.00018594192641790085
361280,regression,2.1774,0.02179082375680177,0.013506092491908924,ada_gpt4o,0.0777642857142857,0.0007782437056000645,0.00048236044613960517
361111,classification,0.7142999999999999,0.00687095335452076,0.004258661010223757,di_gpt4o,,,
361286,classification,0.6839999999999999,0.03429285639896447,0.021254932603986285,di_gpt4o,,,
361070,classification,0.7081999999999999,0.005418486873657632,0.0033584129585266936,di_gpt4o,,,
361278,classification,0.794,0.005403702434442523,0.0033492494681644754,di_gpt4o,,,
361093,regression,0.08489999999999999,0.00291376045686669,0.0018059674415669825,di_gpt4o,0.03691304347826087,0.0012668523725507346,0.0007852032354639053
361094,regression,0.05600000000000001,6.938893903907228e-18,4.300770999006459e-18,di_gpt4o,0.001435897435897436,0.0,0.0
361288,regression,2.1736000000000004,0.008593020423576313,0.005326009237693815,di_gpt4o,0.07762857142857142,0.00030689358655629586,0.00019021461563192133
361072,regression,2.4375000000000004,0.09703118055553077,0.06014054878366179,di_gpt4o,0.02462121212121212,0.0009801129349043505,0.0006074802907440581
361076,regression,0.6148999999999999,0.015801582199260946,0.009793922115271294,di_gpt4o,0.10248333333333333,0.0026335970332101557,0.0016323203525452144
361279,regression,0.028000000000000004,3.469446951953614e-18,2.1503854995032294e-18,di_gpt4o,0.028000000000000004,3.469446951953614e-18,2.1503854995032294e-18
361280,regression,2.1929,0.007790378681424885,0.004828526731830294,di_gpt4o,0.07831785714285715,0.0002782278100508924,0.0001724473832796556
361111,classification,0.6964,0.011010903686800612,0.006824628810418902,tablemage_gpt4o,,,
361286,classification,0.7192,0.003218695387886219,0.001994968069919919,tablemage_gpt4o,,,
361070,classification,0.7162999999999999,0.005311308689955805,0.003291983232035063,tablemage_gpt4o,,,
361278,classification,0.7971,0.0019209372712298562,0.0011906092558014163,tablemage_gpt4o,,,
361093,regression,0.07809999999999999,0.0008306623862918082,0.0005148498810332974,tablemage_gpt4o,0.03395652173913044,0.00036115755925730667,0.00022384777436230242
361094,regression,0.12560000000000002,0.006858571279792904,0.004250986520797264,tablemage_gpt4o,0.0032205128205128205,0.00017586080204597183,0.00010899965437941698
361288,regression,2.1452,0.0029597297173896506,0.0018344594844258014,tablemage_gpt4o,0.0766142857142857,0.00010570463276391534,6.551641015806387e-05
361072,regression,2.7036000000000002,0.6557756018639304,0.40645392902812494,tablemage_gpt4o,0.027309090909090904,0.006623995978423539,0.004105595242708333
361076,regression,0.6006999999999999,0.002758622844826747,0.0017098121534250494,tablemage_gpt4o,0.10011666666666667,0.0004597704741377903,0.00028496869223750774
361279,regression,0.027700000000000002,0.0004582575694955844,0.00028403098422531323,tablemage_gpt4o,0.027700000000000002,0.0004582575694955844,0.00028403098422531323
361280,regression,2.152,0.0016124515496596975,0.000999407824664178,tablemage_gpt4o,0.07685714285714286,5.758755534498895e-05,3.569313659514906e-05
361111,classification,0.7038999999999999,0.00457055795281058,0.0028328611685008525,tablemage_gpt4o-tools_only,,,
361286,classification,0.7244999999999999,0.0005000000000000004,0.0003099032106965014,tablemage_gpt4o-tools_only,,,
361070,classification,0.7163999999999999,0.005370288632839025,0.003328539379367475,tablemage_gpt4o-tools_only,,,
361278,classification,0.7968000000000001,0.001166190378969061,0.000722812285451763,tablemage_gpt4o-tools_only,,,
361093,regression,0.07749999999999999,0.0005000000000000004,0.0003099032106965014,tablemage_gpt4o-tools_only,0.03369565217391304,0.00021739130434782553,0.00013474052638978276
361094,regression,0.1242,0.006415605972938182,0.003976433779154386,tablemage_gpt4o-tools_only,0.0031846153846153843,0.00016450271725482508,0.00010195984049113801
361288,regression,2.1454999999999993,0.0033541019662496133,0.0020788939366884053,tablemage_gpt4o-tools_only,0.07662499999999998,0.00011978935593748539,7.424621202458541e-05
361072,regression,2.2750000000000004,0.010611314715905805,0.00657696100034048,tablemage_gpt4o-tools_only,0.022979797979797982,0.00010718499713036201,6.64339494983889e-05
361076,regression,0.6011,0.0028089143810376303,0.0017409831705102736,tablemage_gpt4o-tools_only,0.10018333333333333,0.0004681523968396071,0.0002901638617517135
361279,regression,0.0273,0.0004582575694955844,0.00028403098422531323,tablemage_gpt4o-tools_only,0.0273,0.0004582575694955844,0.00028403098422531323
361280,regression,2.1532999999999998,0.0038223029707232874,0.0023690879257638425,tablemage_gpt4o-tools_only,0.07690357142857143,0.00013651082038297591,8.461028306299521e-05
361111,classification,0.7355999999999999,0.00452106182218293,0.002802183148903728,tablemage_llama3.3_70b,,,
361286,classification,0.7337,0.025048153624568838,0.015525006460546172,tablemage_llama3.3_70b,,,
361070,classification,0.7313,0.00885494212290516,0.005488349988840001,tablemage_llama3.3_70b,,,
361278,classification,0.7958999999999999,0.001135781669160056,0.0007039647718458652,tablemage_llama3.3_70b,,,
361093,regression,0.0778,0.0006000000000000005,0.0003718838528358017,tablemage_llama3.3_70b,0.03382608695652174,0.00026086956521739063,0.0001616886316677393
361094,regression,0.11560000000000001,0.021996363335788034,0.013633487242815025,tablemage_llama3.3_70b,0.002964102564102564,0.0005640093163022573,0.00034957659596961604
361288,regression,2.1369,0.0019723082923314953,0.0012224493445537276,tablemage_llama3.3_70b,0.07631785714285713,7.043958186898154e-05,4.365890516263286e-05
361072,regression,2.2827,0.01867110066386022,0.011572468085935712,tablemage_llama3.3_70b,0.023057575757575756,0.00018859697640262867,0.00011689361702965378
361076,regression,0.5594999999999999,0.13093681682399338,0.0811554798642704,tablemage_llama3.3_70b,0.09325,0.021822802803998897,0.013525913310711733
361279,regression,0.0274,0.0004898979485566361,0.0003036418943426618,tablemage_llama3.3_70b,0.0274,0.0004898979485566361,0.0003036418943426618
361280,regression,2.1509,0.0032695565448543035,0.002026492141608215,tablemage_llama3.3_70b,0.07681785714285715,0.00011676987660193985,7.237471934315081e-05
361111,classification,0.7292857142857143,0.10876805503417981,0.08057650277841549,openinterpreter_gpt4o,,,
361286,classification,0.7227142857142856,0.0013850513878332382,0.0010260604270704537,openinterpreter_gpt4o,,,
361070,classification,0.7062857142857142,0.009938586931957772,0.007362608233499871,openinterpreter_gpt4o,,,
361278,classification,0.7999999999999999,1.1102230246251565e-16,8.883634376002054e-17,openinterpreter_gpt4o,,,
361093,regression,0.08583333333333332,0.004810289896553936,0.0038490335487313242,openinterpreter_gpt4o,0.03731884057971014,0.002091430389806061,0.0016734928472744903
361094,regression,0.057,0.0,0.0,openinterpreter_gpt4o,0.0014615384615384618,2.168404344971009e-19,1.7350848390629012e-19
361288,regression,2.1276666666666664,0.07447967657168104,0.05959615324399283,openinterpreter_gpt4o,0.07598809523809523,0.0026599884489886074,0.002128434044428314
361072,regression,2.3723333333333336,0.1335822676189554,0.10688807548778059,openinterpreter_gpt4o,0.023962962962962964,0.0013493158345349028,0.0010796775301796016
361076,regression,1.03,0.7626707459098366,0.49827822066109323,openinterpreter_gpt4o,0.17166666666666666,0.12711179098497277,0.08304637011018222
361279,regression,0.11057142857142857,0.20184991393384852,0.14953250884005123,openinterpreter_gpt4o,0.11057142857142857,0.20184991393384852,0.14953250884005123
361280,regression,2.1492500000000003,0.13016503946912933,0.09019977044039523,openinterpreter_gpt4o,0.07675892857142858,0.004648751409611762,0.003221420372871258
